pixel_id,latitude,longitude,1981-01-01,1982-01-01,1983-01-01,1984-01-01,1985-01-01,1986-01-01,1987-01-01,1988-01-01,1989-01-01,1990-01-01,1991-01-01,1992-01-01,1993-01-01,1994-01-01,1995-01-01,1996-01-01,1997-01-01,1998-01-01,1999-01-01,2000-01-01,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,2026-01-01
21,37.0,77.75,47.18849,38.342285,42.95784,47.77452,41.94792,36.331955,39.91478,45.91034,38.317024,42.887726,40.639816,42.38983,49.345337,47.265823,42.656464,48.903976,43.299667,39.007263,54.615158,44.81331,34.82485,44.05807,43.43979,43.664474,39.963608,43.569687,45.018692,50.23181,48.02562,37.4228,46.17958,49.491898,45.446625,41.837708,36.882504,40.276962,44.915283,39.992462,47.721786,46.926163,40.22831,49.46718,53.081314,37.351517,40.1895,42.600967
22,37.0,78.0,47.327164,38.684082,42.60237,48.665146,42.39128,37.095627,40.594467,45.64081,38.861946,42.87796,41.145676,42.604675,50.306274,47.76387,42.76584,50.189133,44.08287,39.614685,54.388596,45.334793,35.502583,44.829556,43.81479,44.057053,40.031967,42.962265,46.239395,49.645874,48.461166,38.41694,47.574112,50.36104,45.845062,42.749817,37.02508,40.716415,44.739502,40.56668,47.55577,48.025772,41.1912,50.209366,53.348892,38.574173,40.20903,42.43495
23,37.0,78.25,47.13185,38.381348,42.303543,49.30577,42.580734,37.17375,40.447983,45.494324,38.67054,43.325226,41.321457,42.21991,50.89807,47.549026,42.69748,50.892258,44.721542,40.5932,53.630783,45.910965,35.92641,44.573696,43.889008,44.201584,39.481186,42.24742,47.182755,49.05017,48.392807,39.31147,48.77919,51.48799,45.589203,43.253723,36.98016,41.21837,43.5813,41.412384,47.403427,48.166397,41.24003,50.61171,51.952408,39.40425,40.023483,41.724014
24,37.0,78.5,46.10646,36.65088,41.965652,47.409286,41.18425,35.788986,39.1472,44.007996,36.66468,42.536163,40.196457,40.54413,49.54065,45.715042,41.81662,49.43718,43.979355,40.007263,52.458908,45.28206,34.891254,43.597134,42.8226,43.570724,37.768295,40.40172,45.219864,46.87439,46.3889,38.719673,48.52333,50.585648,44.39975,42.228333,35.48016,40.60118,41.653564,41.03543,46.850693,46.660538,39.751747,49.564835,48.993423,39.105423,38.142624,40.175186
25,37.0,78.75,46.61232,37.887207,42.70784,47.608505,41.87175,36.382736,39.89525,43.732605,36.6764,42.868195,40.446457,41.290222,49.917603,45.72676,42.449432,49.882492,44.705917,40.778748,53.99797,46.06526,35.1686,44.411587,43.717133,44.49846,38.455795,40.81578,45.44252,48.034546,46.816635,39.616158,49.07997,51.29268,44.96811,43.07794,36.21258,41.159775,42.684814,41.46707,47.819443,47.601944,40.61503,50.478897,48.833267,40.07808,38.15239,40.948624
26,37.0,79.0,47.795914,40.080566,43.768387,50.108505,44.25847,38.37297,41.631577,45.088074,38.399055,44.543976,42.13591,43.092957,51.610962,47.48848,43.980682,52.214523,46.76451,43.257263,55.480392,47.924637,36.65102,45.45651,45.519867,46.260178,40.799545,42.649765,47.20424,51.120483,48.597885,41.596626,49.990128,53.36299,46.70053,44.90216,38.532894,42.995712,44.583252,42.799103,48.91124,49.664444,42.224403,52.158585,49.913345,41.726517,39.806686,42.46425
27,37.0,79.25,46.86818,38.318848,43.367996,49.700302,43.94597,38.00969,41.174545,44.52948,37.762337,44.348663,42.024582,41.70819,50.288696,47.029495,43.213104,51.734055,46.5067,43.409607,53.29875,47.3387,36.17641,44.343227,44.70932,45.809006,40.57103,41.48961,44.71791,49.679077,47.35765,41.54389,49.007706,52.484085,46.28061,43.654114,38.320004,43.191025,43.022705,42.66629,47.63585,48.223038,40.642372,50.547256,47.786392,41.380814,38.763718,41.050186
28,37.0,79.5,46.553726,37.2583,43.055496,49.059677,43.336594,37.431564,40.83275,43.59198,36.92054,44.288116,41.758957,40.67108,49.355103,46.404495,42.457245,51.003586,46.078964,43.24359,52.72258,46.731277,35.479145,43.97018,44.055023,45.576584,40.09642,40.511093,42.77455,47.974,46.996323,41.483345,48.67958,52.023148,45.79428,42.88849,37.747738,43.224228,42.333252,42.45926,47.465927,47.35585,39.54081,49.816788,46.036392,41.132767,37.65825,40.18495
29,37.0,79.75,47.639664,38.674316,43.537918,50.403427,44.410812,38.288986,41.57103,43.89862,37.692024,45.5596,42.833176,41.374207,50.663696,47.30684,43.400604,52.351242,47.034042,44.73578,54.232346,47.48909,36.133442,44.71432,44.91635,46.5551,41.19603,41.515,43.956192,48.909546,48.11351,42.426704,49.300674,53.534866,46.60678,43.906067,38.595394,44.15001,44.009033,43.082306,48.88585,48.726944,40.163857,51.08046,46.237564,41.949173,38.324265,40.80214
30,37.0,80.0,47.014664,37.53174,43.215652,50.077255,44.100266,38.02922,41.143295,43.1662,37.272102,45.235382,42.794113,40.116394,49.91565,47.054886,43.252167,52.03679,46.49498,44.71039,52.7968,46.67073,35.942036,43.84518,44.418304,45.906662,41.018295,40.561874,42.739395,47.80017,46.941635,42.252876,48.308487,52.67549,46.13803,42.804504,38.43133,43.966415,43.31958,42.867462,48.23546,47.6996,39.167763,49.80507,44.555923,41.425735,37.630905,39.423233
