valid_time,latitude,longitude,r
1981-01-01 00:00:00,35.5,74.75,76.96388
1981-01-01 00:00:00,35.5,75.0,78.20802
1981-01-01 00:00:00,35.5,75.25,79.60451
1981-01-01 00:00:00,35.5,75.5,79.10646
1981-01-01 00:00:00,35.5,75.75,78.41701
1981-01-01 00:00:00,35.5,76.0,79.53029
1981-01-01 00:00:00,35.5,76.25,80.1631
1981-01-01 00:00:00,35.5,76.5,79.32912
1981-01-01 00:00:00,35.5,76.75,80.08498
1981-01-01 00:00:00,35.5,77.0,83.77052
1981-01-01 00:00:00,35.5,77.25,86.83498
1981-01-01 00:00:00,35.5,77.5,84.45998
1981-01-01 00:00:00,35.5,77.75,77.559586
1981-01-01 00:00:00,35.5,78.0,72.41701
1981-01-01 00:00:00,35.5,78.25,69.91701
1981-01-01 00:00:00,35.5,78.5,64.73732
1981-01-01 00:00:00,35.5,78.75,56.895523
1981-01-01 00:00:00,35.5,79.0,51.71974
1981-01-01 00:00:00,35.5,79.25,50.692398
1981-01-01 00:00:00,35.5,79.5,51.64943
1981-01-01 00:00:00,35.5,79.75,53.059586
1981-01-01 00:00:00,35.5,80.0,54.303726
1981-01-01 00:00:00,35.5,80.25,55.7881
1981-01-01 00:00:00,35.5,80.5,57.64943
1981-01-01 00:00:00,35.5,80.75,57.71974
1981-01-01 00:00:00,35.5,81.0,54.608414
1981-01-01 00:00:00,35.25,72.5,65.66115
1981-01-01 00:00:00,35.25,72.75,69.10451
1981-01-01 00:00:00,35.25,73.0,69.76076
1981-01-01 00:00:00,35.25,73.25,68.11427
1981-01-01 00:00:00,35.25,73.5,68.70998
1981-01-01 00:00:00,35.25,73.75,72.63771
1981-01-01 00:00:00,35.25,74.0,74.6006
1981-01-01 00:00:00,35.25,74.25,73.80373
1981-01-01 00:00:00,35.25,74.5,74.69435
1981-01-01 00:00:00,35.25,74.75,76.2881
1981-01-01 00:00:00,35.25,75.0,76.27052
1981-01-01 00:00:00,35.25,75.25,76.96193
1981-01-01 00:00:00,35.25,75.5,78.67482
1981-01-01 00:00:00,35.25,75.75,79.68849
1981-01-01 00:00:00,35.25,76.0,80.11818
1981-01-01 00:00:00,35.25,76.25,79.37404
1981-01-01 00:00:00,35.25,76.5,77.596695
1981-01-01 00:00:00,35.25,76.75,77.15138
1981-01-01 00:00:00,35.25,77.0,79.26662
1981-01-01 00:00:00,35.25,77.25,82.8799
1981-01-01 00:00:00,35.25,77.5,84.38185
1981-01-01 00:00:00,35.25,77.75,81.42091
1981-01-01 00:00:00,35.25,78.0,78.0381
1981-01-01 00:00:00,35.25,78.25,77.44435
1981-01-01 00:00:00,35.25,78.5,75.14943
1981-01-01 00:00:00,35.25,78.75,67.10841
1981-01-01 00:00:00,35.25,79.0,56.633804
1981-01-01 00:00:00,35.25,79.25,49.571304
1981-01-01 00:00:00,35.25,79.5,47.639664
1981-01-01 00:00:00,35.25,79.75,48.23146
1981-01-01 00:00:00,35.25,80.0,49.073257
1981-01-01 00:00:00,35.25,80.25,50.62599
1981-01-01 00:00:00,35.25,80.5,54.172867
1981-01-01 00:00:00,35.25,80.75,58.764664
1981-01-01 00:00:00,35.25,81.0,60.721695
1981-01-01 00:00:00,35.0,72.5,62.635757
1981-01-01 00:00:00,35.0,72.75,65.67482
